id,query,tokens_regular,tokens_lemmatized
NG137_Recommendations: 1.3 Delivery of antenatal and intrapartum care - Part 2,What is the recommended schedule of antenatal appointments for women with twin pregnancies according to NICE guidelines?,"['recommended', 'schedule', 'antenatal', 'appointments', 'women', 'twin', 'pregnancies', 'according', 'nice', 'guidelines']","['recommended', 'schedule', 'antenatal', 'appointment', 'woman', 'twin', 'pregnancy', 'according', 'nice', 'guideline']"
NG137_Recommendations: 1.3 Delivery of antenatal and intrapartum care - Part 3,What are the recommended antenatal appointment schedules for women with triplet pregnancies?,"['recommended', 'antenatal', 'appointment', 'schedules', 'women', 'triplet', 'pregnancies']","['recommended', 'antenatal', 'appointment', 'schedule', 'woman', 'triplet', 'pregnancy']"
NG137_Recommendations: 1.4 Fetal complications - Part 1,What are the recommended screening options for chromosomal anomalies in twin and triplet pregnancies?,"['recommended', 'screening', 'options', 'chromosomal', 'anomalies', 'twin', 'triplet', 'pregnancies']","['recommended', 'screening', 'option', 'chromosomal', 'anomaly', 'twin', 'triplet', 'pregnancy']"
NG137_Recommendations: 1.4 Fetal complications - Part 2,What are the recommended screening and monitoring procedures for chromosomal abnormalities and preterm birth risk in twin and triplet pregnancies?,"['recommended', 'screening', 'monitoring', 'procedures', 'chromosomal', 'abnormalities', 'preterm', 'birth', 'risk', 'twin', 'triplet', 'pregnancies']","['recommended', 'screening', 'monitoring', 'procedure', 'chromosomal', 'abnormality', 'preterm', 'birth', 'risk', 'twin', 'triplet', 'pregnancy']"
NG137_Recommendations: 1.4 Fetal complications - Part 3,What are the current NICE recommendations for screening and monitoring fetal growth in twin and triplet pregnancies?,"['current', 'nice', 'recommendations', 'screening', 'monitoring', 'fetal', 'growth', 'twin', 'triplet', 'pregnancies']","['current', 'nice', 'recommendation', 'screening', 'monitoring', 'fetal', 'growth', 'twin', 'triplet', 'pregnancy']"
NG137_Recommendations: 1.4 Fetal complications - Part 4,What are the recommended monitoring intervals and criteria for fetal growth assessment in twin and triplet pregnancies according to NICE guidelines?,"['recommended', 'monitoring', 'intervals', 'criteria', 'fetal', 'growth', 'assessment', 'twin', 'triplet', 'pregnancies', 'according', 'nice', 'guidelines']","['recommended', 'monitoring', 'interval', 'criterion', 'fetal', 'growth', 'assessment', 'twin', 'triplet', 'pregnancy', 'according', 'nice', 'guideline']"
NG137_Recommendations: 1.4 Fetal complications - Part 5,What are the recommended ultrasound monitoring protocols for feto-fetal transfusion syndrome in monochorionic twin pregnancies?,"['recommended', 'ultrasound', 'monitoring', 'protocols', 'fetofetal', 'transfusion', 'syndrome', 'monochorionic', 'twin', 'pregnancies']","['recommended', 'ultrasound', 'monitoring', 'protocol', 'fetofetal', 'transfusion', 'syndrome', 'monochorionic', 'twin', 'pregnancy']"
NG137_Recommendations: 1.4 Fetal complications - Part 6,What are the recommended monitoring protocols for fetal growth restriction in monochorionic twin pregnancies?,"['recommended', 'monitoring', 'protocols', 'fetal', 'growth', 'restriction', 'monochorionic', 'twin', 'pregnancies']","['recommended', 'monitoring', 'protocol', 'fetal', 'growth', 'restriction', 'monochorionic', 'twin', 'pregnancy']"
NG137_Recommendations: 1.4 Fetal complications - Part 7,What is the recommended ultrasound monitoring schedule for twin anemia polycythaemia sequence (TAPS) in monochorionic pregnancies?,"['recommended', 'ultrasound', 'monitoring', 'schedule', 'twin', 'anemia', 'polycythaemia', 'sequence', 'taps', 'monochorionic', 'pregnancies']","['recommended', 'ultrasound', 'monitoring', 'schedule', 'twin', 'anemia', 'polycythaemia', 'sequence', 'tap', 'monochorionic', 'pregnancy']"
NG137_Recommendations: 1.5 Preventing preterm birth - Part 1,What are the recommended strategies for preventing preterm birth in women with twin or triplet pregnancies?,"['recommended', 'strategies', 'preventing', 'preterm', 'birth', 'women', 'twin', 'triplet', 'pregnancies']","['recommended', 'strategy', 'preventing', 'preterm', 'birth', 'woman', 'twin', 'triplet', 'pregnancy']"
NG137_Recommendations: 1.5 Preventing preterm birth - Part 2,What are the recommended interventions to prevent preterm birth in twin and triplet pregnancies?,"['recommended', 'interventions', 'prevent', 'preterm', 'birth', 'twin', 'triplet', 'pregnancies']","['recommended', 'intervention', 'prevent', 'preterm', 'birth', 'twin', 'triplet', 'pregnancy']"
NG137_Recommendations: 1.6 Maternal complications,What is the recommended screening for hypertensive disorders in twin and triplet pregnancies?,"['recommended', 'screening', 'hypertensive', 'disorders', 'twin', 'triplet', 'pregnancies']","['recommended', 'screening', 'hypertensive', 'disorder', 'twin', 'triplet', 'pregnancy']"
NG137_Recommendations: 1.7 Indications for referral to a tertiary level fetal medicine centre,What are the indications for referral to a tertiary fetal medicine centre during pregnancy?,"['indications', 'referral', 'tertiary', 'fetal', 'medicine', 'centre', 'pregnancy']","['indication', 'referral', 'tertiary', 'fetal', 'medicine', 'centre', 'pregnancy']"
NG137_Recommendations: 1.8 Planning birth: information and support,What information should be provided to women with twin or triplet pregnancies about birth planning and support?,"['information', 'provided', 'women', 'twin', 'triplet', 'pregnancies', 'birth', 'planning', 'support']","['information', 'provided', 'woman', 'twin', 'triplet', 'pregnancy', 'birth', 'planning', 'support']"
NG137_Recommendations: 1.9 Timing of birth - Part 1,What is the recommended timing of birth for twin and triplet pregnancies according to NICE guidelines?,"['recommended', 'timing', 'birth', 'twin', 'triplet', 'pregnancies', 'according', 'nice', 'guidelines']","['recommended', 'timing', 'birth', 'twin', 'triplet', 'pregnancy', 'according', 'nice', 'guideline']"
NG137_Recommendations: 1.9 Timing of birth - Part 2,When should planned birth be offered for twin and triplet pregnancies according to NICE guidelines?,"['planned', 'birth', 'offered', 'twin', 'triplet', 'pregnancies', 'according', 'nice', 'guidelines']","['planned', 'birth', 'offered', 'twin', 'triplet', 'pregnancy', 'according', 'nice', 'guideline']"
NG137_Recommendations: 1.10 Mode of birth - Part 1,What are the recommended modes of birth for women with uncomplicated twin pregnancies after 32 weeks?,"['recommended', 'modes', 'birth', 'women', 'uncomplicated', 'twin', 'pregnancies', 'weeks']","['recommended', 'mode', 'birth', 'woman', 'uncomplicated', 'twin', 'pregnancy', 'week']"
NG137_Recommendations: 1.10 Mode of birth - Part 2,"What are the NICE guidelines for mode of birth in preterm, twin, and triplet pregnancies?","['nice', 'guidelines', 'mode', 'birth', 'preterm', 'twin', 'triplet', 'pregnancies']","['nice', 'guideline', 'mode', 'birth', 'preterm', 'twin', 'triplet', 'pregnancy']"
NG137_Recommendations: 1.11 Fetal monitoring during labour in twin pregnancy - Part 1,What are the recommendations for fetal monitoring during labour in twin pregnancies?,"['recommendations', 'fetal', 'monitoring', 'labour', 'twin', 'pregnancies']","['recommendation', 'fetal', 'monitoring', 'labour', 'twin', 'pregnancy']"
NG137_Recommendations: 1.11 Fetal monitoring during labour in twin pregnancy - Part 2,What are the best practices for monitoring and interpreting cardiotocography in twin pregnancies?,"['best', 'practices', 'monitoring', 'interpreting', 'cardiotocography', 'twin', 'pregnancies']","['best', 'practice', 'monitoring', 'interpreting', 'cardiotocography', 'twin', 'pregnancy']"
NG137_Recommendations: 1.11 Fetal monitoring during labour in twin pregnancy - Part 3,What are the recommended management strategies for abnormal fetal monitoring in twin pregnancies during labour?,"['recommended', 'management', 'strategies', 'abnormal', 'fetal', 'monitoring', 'twin', 'pregnancies', 'labour']","['recommended', 'management', 'strategy', 'abnormal', 'fetal', 'monitoring', 'twin', 'pregnancy', 'labour']"
NG137_Recommendations: 1.11 Fetal monitoring during labour in twin pregnancy - Part 4,What are the indications for performing an emergency caesarean section during twin labor based on fetal monitoring?,"['indications', 'performing', 'emergency', 'caesarean', 'section', 'twin', 'labor', 'based', 'fetal', 'monitoring']","['indication', 'performing', 'emergency', 'caesarean', 'section', 'twin', 'labor', 'based', 'fetal', 'monitoring']"
NG137_Recommendations: 1.12 Analgesia,What are the recommended analgesia options for women during vaginal or caesarean birth in twin or triplet pregnancies?,"['recommended', 'analgesia', 'options', 'women', 'vaginal', 'caesarean', 'birth', 'twin', 'triplet', 'pregnancies']","['recommended', 'analgesia', 'option', 'woman', 'vaginal', 'caesarean', 'birth', 'twin', 'triplet', 'pregnancy']"
NG137_Recommendations: 1.13 Managing the third stage of labour - Part 1,What are the recommended management options for the third stage of labour in women with twin or triplet pregnancies?,"['recommended', 'management', 'options', 'third', 'stage', 'labour', 'women', 'twin', 'triplet', 'pregnancies']","['recommended', 'management', 'option', 'third', 'stage', 'labour', 'woman', 'twin', 'triplet', 'pregnancy']"
NG137_Recommendations: 1.13 Managing the third stage of labour - Part 2,What are the recommendations for blood transfusion management in women with twin or triplet pregnancies during labor?,"['recommendations', 'blood', 'transfusion', 'management', 'women', 'twin', 'triplet', 'pregnancies', 'labor']","['recommendation', 'blood', 'transfusion', 'management', 'woman', 'twin', 'triplet', 'pregnancy', 'labor']"
NG137_Recommendations: Terms used in this guideline - Part 1,What is active management of the third stage of labor and how is it performed in vaginal and caesarean births?,"['active', 'management', 'third', 'stage', 'labor', 'performed', 'vaginal', 'caesarean', 'births']","['active', 'management', 'third', 'stage', 'labor', 'performed', 'vaginal', 'caesarean', 'birth']"
NG137_Recommendations: Terms used in this guideline - Part 2,What are the management options for twin-to-twin transfusion syndrome in monochorionic pregnancies?,"['management', 'options', 'twintotwin', 'transfusion', 'syndrome', 'monochorionic', 'pregnancies']","['management', 'option', 'twintotwin', 'transfusion', 'syndrome', 'monochorionic', 'pregnancy']"
NG137_Recommendations for research: Key recommendations for research,What is the effectiveness of progesterone in preventing preterm birth in women with twin or triplet pregnancies and previous preterm birth?,"['effectiveness', 'progesterone', 'preventing', 'preterm', 'birth', 'women', 'twin', 'triplet', 'pregnancies', 'previous', 'preterm', 'birth']","['effectiveness', 'progesterone', 'preventing', 'preterm', 'birth', 'woman', 'twin', 'triplet', 'pregnancy', 'previous', 'preterm', 'birth']"
NG137_Recommendations for research: Other recommendations for research & Rationale and impact: Intrapartum care,What are the recommended methods for estimating gestational age in twin and triplet pregnancies?,"['recommended', 'methods', 'estimating', 'gestational', 'age', 'twin', 'triplet', 'pregnancies']","['recommended', 'method', 'estimating', 'gestational', 'age', 'twin', 'triplet', 'pregnancy']"
NG137_Rationale and impact: Screening for chromosomal conditions & Rationale and impact: Screening for preterm birth,What are the current NICE recommendations for screening for chromosomal conditions in twin and triplet pregnancies?,"['current', 'nice', 'recommendations', 'screening', 'chromosomal', 'conditions', 'twin', 'triplet', 'pregnancies']","['current', 'nice', 'recommendation', 'screening', 'chromosomal', 'condition', 'twin', 'triplet', 'pregnancy']"
NG137_Rationale and impact: Screening for fetal growth restriction and feto-fetal transfusion syndrome in the first trimester,What are the recommended first trimester screening methods for fetal growth restriction and feto-fetal transfusion syndrome?,"['recommended', 'first', 'trimester', 'screening', 'methods', 'fetal', 'growth', 'restriction', 'fetofetal', 'transfusion', 'syndrome']","['recommended', 'first', 'trimester', 'screening', 'method', 'fetal', 'growth', 'restriction', 'fetofetal', 'transfusion', 'syndrome']"
NG137_Rationale and impact: Diagnostic monitoring for fetal growth restriction in dichorionic twin and trichorionic triplet pregnancies - Part 1,What is the recommended ultrasound monitoring schedule for fetal growth restriction in dichorionic twin and triplet pregnancies?,"['recommended', 'ultrasound', 'monitoring', 'schedule', 'fetal', 'growth', 'restriction', 'dichorionic', 'twin', 'triplet', 'pregnancies']","['recommended', 'ultrasound', 'monitoring', 'schedule', 'fetal', 'growth', 'restriction', 'dichorionic', 'twin', 'triplet', 'pregnancy']"
NG137_Rationale and impact: Diagnostic monitoring for fetal growth restriction in dichorionic twin and trichorionic triplet pregnancies - Part 2,What are the criteria for referring twin or triplet pregnancies with fetal growth restriction to a fetal medicine specialist?,"['criteria', 'referring', 'twin', 'triplet', 'pregnancies', 'fetal', 'growth', 'restriction', 'fetal', 'medicine', 'specialist']","['criterion', 'referring', 'twin', 'triplet', 'pregnancy', 'fetal', 'growth', 'restriction', 'fetal', 'medicine', 'specialist']"
NG137_Rationale and impact: Diagnostic monitoring for feto-fetal transfusion syndrome - Part 1,How is feto-fetal transfusion syndrome diagnosed and monitored in monochorionic pregnancies?,"['fetofetal', 'transfusion', 'syndrome', 'diagnosed', 'monitored', 'monochorionic', 'pregnancies']","['fetofetal', 'transfusion', 'syndrome', 'diagnosed', 'monitored', 'monochorionic', 'pregnancy']"
NG137_Rationale and impact: Diagnostic monitoring for feto-fetal transfusion syndrome - Part 2,How should fetal monitoring be conducted to detect and manage feto-fetal transfusion syndrome in monochorionic twin pregnancies?,"['fetal', 'monitoring', 'conducted', 'detect', 'manage', 'fetofetal', 'transfusion', 'syndrome', 'monochorionic', 'twin', 'pregnancies']","['fetal', 'monitoring', 'conducted', 'detect', 'manage', 'fetofetal', 'transfusion', 'syndrome', 'monochorionic', 'twin', 'pregnancy']"
NG137_Rationale and impact: Diagnostic monitoring for fetal growth restriction in monochorionic twin and triplet pregnancy - Part 1,What is the recommended frequency of ultrasound scans for fetal growth monitoring in monochorionic twin pregnancies?,"['recommended', 'frequency', 'ultrasound', 'scans', 'fetal', 'growth', 'monitoring', 'monochorionic', 'twin', 'pregnancies']","['recommended', 'frequency', 'ultrasound', 'scan', 'fetal', 'growth', 'monitoring', 'monochorionic', 'twin', 'pregnancy']"
NG137_Rationale and impact: Diagnostic monitoring for fetal growth restriction in monochorionic twin and triplet pregnancy - Part 2,What are the recommended monitoring protocols for monochorionic twin pregnancies with fetal weight discordance?,"['recommended', 'monitoring', 'protocols', 'monochorionic', 'twin', 'pregnancies', 'fetal', 'weight', 'discordance']","['recommended', 'monitoring', 'protocol', 'monochorionic', 'twin', 'pregnancy', 'fetal', 'weight', 'discordance']"
NG137_Rationale and impact: Diagnostic monitoring for twin anaemia polycythaemia sequence - Part 1,What are the recommended methods for diagnostic monitoring of twin anaemia polycythaemia sequence in complicated monochorionic pregnancies?,"['recommended', 'methods', 'diagnostic', 'monitoring', 'twin', 'anaemia', 'polycythaemia', 'sequence', 'complicated', 'monochorionic', 'pregnancies']","['recommended', 'method', 'diagnostic', 'monitoring', 'twin', 'anaemia', 'polycythaemia', 'sequence', 'complicated', 'monochorionic', 'pregnancy']"
NG137_Rationale and impact: Diagnostic monitoring for twin anaemia polycythaemia sequence - Part 2,What are the recommended management strategies for pregnancies complicated by TAPS in monochorionic twins?,"['recommended', 'management', 'strategies', 'pregnancies', 'complicated', 'taps', 'monochorionic', 'twins']","['recommended', 'management', 'strategy', 'pregnancy', 'complicated', 'tap', 'monochorionic', 'twin']"
NG137_Rationale and impact: Preventing preterm birth - Part 1,What is the effectiveness of vaginal progesterone in preventing preterm birth in women with twin pregnancies and a short cervix?,"['effectiveness', 'vaginal', 'progesterone', 'preventing', 'preterm', 'birth', 'women', 'twin', 'pregnancies', 'short', 'cervix']","['effectiveness', 'vaginal', 'progesterone', 'preventing', 'preterm', 'birth', 'woman', 'twin', 'pregnancy', 'short', 'cervix']"
NG137_Rationale and impact: Preventing preterm birth - Part 2,What are the current recommendations for cervical length screening and progesterone use to prevent preterm birth in women with twin or triplet pregnancies?,"['current', 'recommendations', 'cervical', 'length', 'screening', 'progesterone', 'use', 'prevent', 'preterm', 'birth', 'women', 'twin', 'triplet', 'pregnancies']","['current', 'recommendation', 'cervical', 'length', 'screening', 'progesterone', 'use', 'prevent', 'preterm', 'birth', 'woman', 'twin', 'triplet', 'pregnancy']"
NG137_Rationale and impact: Planning birth: information and support,What information and support should be provided to women during birth planning to ensure shared decision-making?,"['information', 'support', 'provided', 'women', 'birth', 'planning', 'ensure', 'shared', 'decisionmaking']","['information', 'support', 'provided', 'woman', 'birth', 'planning', 'ensure', 'shared', 'decisionmaking']"
NG137_Rationale and impact: Timing of birth - Part 1,What is the recommended timing of planned birth for twin pregnancies according to NICE guidelines?,"['recommended', 'timing', 'planned', 'birth', 'twin', 'pregnancies', 'according', 'nice', 'guidelines']","['recommended', 'timing', 'planned', 'birth', 'twin', 'pregnancy', 'according', 'nice', 'guideline']"
NG137_Rationale and impact: Timing of birth - Part 2,What is the recommended timing of planned birth for monochorionic monoamniotic twin pregnancies?,"['recommended', 'timing', 'planned', 'birth', 'monochorionic', 'monoamniotic', 'twin', 'pregnancies']","['recommended', 'timing', 'planned', 'birth', 'monochorionic', 'monoamniotic', 'twin', 'pregnancy']"
NG137_Rationale and impact: Mode of birth,What are the recommended modes of birth for twin pregnancies after 32 weeks?,"['recommended', 'modes', 'birth', 'twin', 'pregnancies', 'weeks']","['recommended', 'mode', 'birth', 'twin', 'pregnancy', 'week']"
NG137_Rationale and impact: Fetal monitoring during labour in twin pregnancy - Part 1,What are the recommendations for fetal monitoring during labour in twin pregnancies?,"['recommendations', 'fetal', 'monitoring', 'labour', 'twin', 'pregnancies']","['recommendation', 'fetal', 'monitoring', 'labour', 'twin', 'pregnancy']"
NG137_Rationale and impact: Fetal monitoring during labour in twin pregnancy - Part 2,What are the recommended practices for cardiotocography monitoring in twin pregnancies during labour?,"['recommended', 'practices', 'cardiotocography', 'monitoring', 'twin', 'pregnancies', 'labour']","['recommended', 'practice', 'cardiotocography', 'monitoring', 'twin', 'pregnancy', 'labour']"
NG137_Rationale and impact: Analgesia,What are the recommended analgesia options for women with twin or triplet pregnancies during labour?,"['recommended', 'analgesia', 'options', 'women', 'twin', 'triplet', 'pregnancies', 'labour']","['recommended', 'analgesia', 'option', 'woman', 'twin', 'triplet', 'pregnancy', 'labour']"
NG137_Rationale and impact: Managing the third stage of labour,What are the recommended management strategies for the third stage of labour in women with multiple pregnancies?,"['recommended', 'management', 'strategies', 'third', 'stage', 'labour', 'women', 'multiple', 'pregnancies']","['recommended', 'management', 'strategy', 'third', 'stage', 'labour', 'woman', 'multiple', 'pregnancy']"
NG137_Context,What are the recommended antenatal monitoring protocols for twin and triplet pregnancies?,"['recommended', 'antenatal', 'monitoring', 'protocols', 'twin', 'triplet', 'pregnancies']","['recommended', 'antenatal', 'monitoring', 'protocol', 'twin', 'triplet', 'pregnancy']"
NG138_Pneumonia (community-acquired): antimicrobial prescribing & Overview,What are the recommended antibiotics for treating community-acquired pneumonia?,"['recommended', 'antibiotics', 'treating', 'communityacquired', 'pneumonia']","['recommended', 'antibiotic', 'treating', 'communityacquired', 'pneumonia']"
NG138_Recommendations: 1.1 Managing community-acquired pneumonia - Part 1,What are the recommended antibiotic treatments and considerations for managing community-acquired pneumonia in different age groups?,"['recommended', 'antibiotic', 'treatments', 'considerations', 'managing', 'communityacquired', 'pneumonia', 'different', 'age', 'groups']","['recommended', 'antibiotic', 'treatment', 'consideration', 'managing', 'communityacquired', 'pneumonia', 'different', 'age', 'group']"
NG138_Recommendations: 1.1 Managing community-acquired pneumonia - Part 2,When should I seek medical help or hospital referral for community-acquired pneumonia?,"['seek', 'medical', 'help', 'hospital', 'referral', 'communityacquired', 'pneumonia']","['seek', 'medical', 'help', 'hospital', 'referral', 'communityacquired', 'pneumonia']"
NG138_Recommendations: 1.2 Choice of antibiotic - Part 1,What is the recommended antibiotic treatment for community-acquired pneumonia in adults?,"['recommended', 'antibiotic', 'treatment', 'communityacquired', 'pneumonia', 'adults']","['recommended', 'antibiotic', 'treatment', 'communityacquired', 'pneumonia', 'adult']"
NG138_Recommendations: 1.2 Choice of antibiotic - Part 2 & Recommendations: 1.2 Choice of antibiotic - Part 3,What are the recommendations for antibiotic use and switching from intravenous to oral therapy in respiratory infections?,"['recommendations', 'antibiotic', 'use', 'switching', 'intravenous', 'oral', 'therapy', 'respiratory', 'infections']","['recommendation', 'antibiotic', 'use', 'switching', 'intravenous', 'oral', 'therapy', 'respiratory', 'infection']"
NG138_Recommendations: 1.2 Choice of antibiotic - Part 4,What are the recommended antibiotics and dosages for children with community-acquired pneumonia?,"['recommended', 'antibiotics', 'dosages', 'children', 'communityacquired', 'pneumonia']","['recommended', 'antibiotic', 'dosage', 'child', 'communityacquired', 'pneumonia']"
NG138_Recommendations: 1.2 Choice of antibiotic - Part 5,What are the recommended dosing and duration for antibiotic treatment in children according to NICE guidelines?,"['recommended', 'dosing', 'duration', 'antibiotic', 'treatment', 'children', 'according', 'nice', 'guidelines']","['recommended', 'dosing', 'duration', 'antibiotic', 'treatment', 'child', 'according', 'nice', 'guideline']"
NG138_Recommendations: Terms used in the guideline,What are the clinical features and assessment tools for severe community-acquired pneumonia in children and adults?,"['clinical', 'features', 'assessment', 'tools', 'severe', 'communityacquired', 'pneumonia', 'children', 'adults']","['clinical', 'feature', 'assessment', 'tool', 'severe', 'communityacquired', 'pneumonia', 'child', 'adult']"
NG138_Summary of the evidence: Antibiotic prescribing strategies - Part 1,What are the recommended antibiotic prescribing strategies for community-acquired pneumonia in adults and children?,"['recommended', 'antibiotic', 'prescribing', 'strategies', 'communityacquired', 'pneumonia', 'adults', 'children']","['recommended', 'antibiotic', 'prescribing', 'strategy', 'communityacquired', 'pneumonia', 'adult', 'child']"
NG138_Summary of the evidence: Antibiotic prescribing strategies - Part 2,What are the recommended antibiotic treatment and switching strategies for pneumonia in children and young people?,"['recommended', 'antibiotic', 'treatment', 'switching', 'strategies', 'pneumonia', 'children', 'young', 'people']","['recommended', 'antibiotic', 'treatment', 'switching', 'strategy', 'pneumonia', 'child', 'young', 'people']"
NG138_Summary of the evidence: Choice of antibiotics - Part 1,What are the most effective antibiotics for treating low-severity community-acquired pneumonia in adults?,"['effective', 'antibiotics', 'treating', 'lowseverity', 'communityacquired', 'pneumonia', 'adults']","['effective', 'antibiotic', 'treating', 'lowseverity', 'communityacquired', 'pneumonia', 'adult']"
NG138_Summary of the evidence: Choice of antibiotics - Part 2,What is the evidence for the effectiveness of antibiotics in treating low-severity community-acquired pneumonia in adults?,"['evidence', 'effectiveness', 'antibiotics', 'treating', 'lowseverity', 'communityacquired', 'pneumonia', 'adults']","['evidence', 'effectiveness', 'antibiotic', 'treating', 'lowseverity', 'communityacquired', 'pneumonia', 'adult']"
NG138_Summary of the evidence: Choice of antibiotics - Part 3,What are the comparative effectiveness and safety of ertapenem versus ceftriaxone for community-acquired pneumonia?,"['comparative', 'effectiveness', 'safety', 'ertapenem', 'versus', 'ceftriaxone', 'communityacquired', 'pneumonia']","['comparative', 'effectiveness', 'safety', 'ertapenem', 'versus', 'ceftriaxone', 'communityacquired', 'pneumonia']"
NG138_Summary of the evidence: Choice of antibiotics - Part 4,What are the recommended antibiotic treatments for community-acquired pneumonia in adults and children?,"['recommended', 'antibiotic', 'treatments', 'communityacquired', 'pneumonia', 'adults', 'children']","['recommended', 'antibiotic', 'treatment', 'communityacquired', 'pneumonia', 'adult', 'child']"
NG138_Summary of the evidence: Choice of antibiotics - Part 5,What are the recommended antibiotic treatments for severe community-acquired pneumonia in children and young people?,"['recommended', 'antibiotic', 'treatments', 'severe', 'communityacquired', 'pneumonia', 'children', 'young', 'people']","['recommended', 'antibiotic', 'treatment', 'severe', 'communityacquired', 'pneumonia', 'child', 'young', 'people']"
NG138_Summary of the evidence: Choice of antibiotics - Part 6,What are the safety considerations and potential side effects of antibiotics used to treat severe community-acquired pneumonia in children and young people?,"['safety', 'considerations', 'potential', 'side', 'effects', 'antibiotics', 'used', 'treat', 'severe', 'communityacquired', 'pneumonia', 'children', 'young', 'people']","['safety', 'consideration', 'potential', 'side', 'effect', 'antibiotic', 'used', 'treat', 'severe', 'communityacquired', 'pneumonia', 'child', 'young', 'people']"
NG138_Summary of the evidence: Choice of antibiotics - Part 7,What are the risks of tendon damage and adverse effects associated with fluoroquinolones and other antibiotics in treating community-acquired pneumonia?,"['risks', 'tendon', 'damage', 'adverse', 'effects', 'associated', 'fluoroquinolones', 'antibiotics', 'treating', 'communityacquired', 'pneumonia']","['risk', 'tendon', 'damage', 'adverse', 'effect', 'associated', 'fluoroquinolones', 'antibiotic', 'treating', 'communityacquired', 'pneumonia']"
NG138_Summary of the evidence: Choice of antibiotics - Part 8,What are the recommended antibiotic treatments for community-acquired pneumonia in children and adults according to NICE guidelines?,"['recommended', 'antibiotic', 'treatments', 'communityacquired', 'pneumonia', 'children', 'adults', 'according', 'nice', 'guidelines']","['recommended', 'antibiotic', 'treatment', 'communityacquired', 'pneumonia', 'child', 'adult', 'according', 'nice', 'guideline']"
NG138_Summary of the evidence: Choice of antibiotics - Part 9,What is the recommended first-line antibiotic for adults with low-severity community-acquired pneumonia?,"['recommended', 'firstline', 'antibiotic', 'adults', 'lowseverity', 'communityacquired', 'pneumonia']","['recommended', 'firstline', 'antibiotic', 'adult', 'lowseverity', 'communityacquired', 'pneumonia']"
NG138_Summary of the evidence: Choice of antibiotics - Part 10,What is the recommended antibiotic treatment for moderate-severity community-acquired pneumonia in adults?,"['recommended', 'antibiotic', 'treatment', 'moderateseverity', 'communityacquired', 'pneumonia', 'adults']","['recommended', 'antibiotic', 'treatment', 'moderateseverity', 'communityacquired', 'pneumonia', 'adult']"
NG138_Summary of the evidence: Choice of antibiotics - Part 11,What are the recommended antibiotic treatments for adults with high-severity community-acquired pneumonia?,"['recommended', 'antibiotic', 'treatments', 'adults', 'highseverity', 'communityacquired', 'pneumonia']","['recommended', 'antibiotic', 'treatment', 'adult', 'highseverity', 'communityacquired', 'pneumonia']"
NG138_Summary of the evidence: Choice of antibiotics - Part 12,What is the recommended antibiotic treatment for children and young people with community-acquired pneumonia?,"['recommended', 'antibiotic', 'treatment', 'children', 'young', 'people', 'communityacquired', 'pneumonia']","['recommended', 'antibiotic', 'treatment', 'child', 'young', 'people', 'communityacquired', 'pneumonia']"
NG138_Summary of the evidence: Choice of antibiotics - Part 13,What are the safety netting recommendations for community-acquired pneumonia in children and adults?,"['safety', 'netting', 'recommendations', 'communityacquired', 'pneumonia', 'children', 'adults']","['safety', 'netting', 'recommendation', 'communityacquired', 'pneumonia', 'child', 'adult']"
NG138_Summary of the evidence: Antibiotic dosage - Part 1,What is the recommended antibiotic dosage for treating community-acquired pneumonia in children and adults?,"['recommended', 'antibiotic', 'dosage', 'treating', 'communityacquired', 'pneumonia', 'children', 'adults']","['recommended', 'antibiotic', 'dosage', 'treating', 'communityacquired', 'pneumonia', 'child', 'adult']"
NG138_Summary of the evidence: Antibiotic dosage - Part 2,What is the recommended antibiotic dosing for community-acquired pneumonia in children and adults?,"['recommended', 'antibiotic', 'dosing', 'communityacquired', 'pneumonia', 'children', 'adults']","['recommended', 'antibiotic', 'dosing', 'communityacquired', 'pneumonia', 'child', 'adult']"
NG138_Summary of the evidence: Antibiotic course length - Part 1,What is the recommended duration of antibiotic treatment for community-acquired pneumonia in adults and children?,"['recommended', 'duration', 'antibiotic', 'treatment', 'communityacquired', 'pneumonia', 'adults', 'children']","['recommended', 'duration', 'antibiotic', 'treatment', 'communityacquired', 'pneumonia', 'adult', 'child']"
NG138_Summary of the evidence: Antibiotic course length - Part 2,What is the recommended duration of antibiotic treatment for community-acquired pneumonia in children and adults?,"['recommended', 'duration', 'antibiotic', 'treatment', 'communityacquired', 'pneumonia', 'children', 'adults']","['recommended', 'duration', 'antibiotic', 'treatment', 'communityacquired', 'pneumonia', 'child', 'adult']"
NG138_Summary of the evidence: Antibiotic route of administration - Part 1,What is the evidence for switching from intravenous to oral antibiotics in community-acquired pneumonia?,"['evidence', 'switching', 'intravenous', 'oral', 'antibiotics', 'communityacquired', 'pneumonia']","['evidence', 'switching', 'intravenous', 'oral', 'antibiotic', 'communityacquired', 'pneumonia']"
NG138_Summary of the evidence: Antibiotic route of administration - Part 2 & Other considerations,What is the recommended route of antibiotic administration for children and adults with community-acquired pneumonia according to NICE guidelines?,"['recommended', 'route', 'antibiotic', 'administration', 'children', 'adults', 'communityacquired', 'pneumonia', 'according', 'nice', 'guidelines']","['recommended', 'route', 'antibiotic', 'administration', 'child', 'adult', 'communityacquired', 'pneumonia', 'according', 'nice', 'guideline']"
