id,source,query
CG148_Recommendations: 1.3 Treatment to improve bladder storage - Part 2,CG148,What are the indications and considerations for using botulinum toxin type A in treating overactive bladder in adults and children?
CG148_Recommendations: 1.3 Treatment to improve bladder storage - Part 3,CG148,What are the indications and considerations for bladder wall injections with botulinum toxin type A in adults and children with neurogenic bladder?
CG148_Recommendations: 1.4 Treatment for stress incontinence & Recommendations: 1.5 Treatment to improve bladder emptying,CG148,What are the recommended treatments for stress incontinence in people with neurological conditions?
CG148_Recommendations: 1.6 Management with catheter valves & Recommendations: 1.7 Management with ileal conduit diversion,CG148,What are the considerations for using catheter valves as an alternative to drainage bags in urinary management?
CG148_Recommendations: 1.8 Treatment to prevent urinary tract infection,CG148,What are the recommendations for antibiotic prophylaxis to prevent urinary tract infections in people with neurogenic lower urinary tract dysfunction?
CG148_Recommendations: 1.9 Monitoring and surveillance protocols,CG148,What are the recommended monitoring and surveillance protocols for renal function in people with neurogenic lower urinary tract dysfunction?
CG148_Recommendations: 1.10 Potential complications: providing information and initial management,CG148,What are the signs and management strategies for renal complications and bladder stones in patients with neurogenic urinary tract dysfunction?
CG148_Recommendations: 1.11 Access to and interaction with services - Part 1,CG148,What are the recommended practices for providing information and contact details to patients with neurogenic lower urinary tract dysfunction and their carers?
CG148_Recommendations: 1.11 Access to and interaction with services - Part 2,CG148,What are the best practices for transferring care of neurogenic lower urinary tract dysfunction from paediatric to adult services?
CG148_Recommendations: Terms used in this guideline - Part 1,CG148,What are the indications and procedures for augmentation cystoplasty in bladder reconstruction?
CG148_Recommendations: Terms used in this guideline - Part 2,CG148,What is neurogenic bladder and how is it managed?
CG148_Recommendations: Terms used in this guideline - Part 3,CG148,What are the clinical features and management options for sacral agenesis and spina bifida?
CG148_Recommendations for research: 1 Safety and efficacy of antimuscarinics,CG148,What is the safety and efficacy of newer antimuscarinic drugs for neurogenic lower urinary tract dysfunction compared to placebo or other antimuscarinics?
CG148_Recommendations for research: 2 Safety and efficacy of botulinum toxin,CG148,What is the safety and effectiveness of botulinum toxin injections for neurogenic lower urinary tract dysfunction compared to usual care or other treatments?
CG148_Recommendations for research: 3 Management strategies to reduce the risk of symptomatic urinary tract infections,CG148,What management strategies can reduce the risk of urinary tract infections in people with neurogenic bladder dysfunction?
CG148_Recommendations for research: 4 Bladder management strategies,CG148,What are the long-term risks and quality of life outcomes associated with different bladder management strategies for neurological lower urinary tract dysfunction?
CG148_Context - Part 1,CG148,What are the management strategies for neurogenic lower urinary tract dysfunction in patients with neurological disease?
CG148_Context - Part 2,CG148,What are the recommended management strategies for neurogenic lower urinary tract dysfunction and its impact on quality of life?
CG150_Headaches in over 12s: diagnosis and management & Overview,CG150,What are the recommended approaches for diagnosing and managing migraines and other headaches in people aged 12 and over?
CG150_Recommendations: 1.1 Assessment,CG150,What are the key features that indicate the need for further investigation or referral in patients presenting with headache?
CG150_Recommendations: 1.2 Diagnosis - Part 1,CG150,"What are the key features used to differentiate tension-type headache, migraine, and cluster headache?"
CG150_Recommendations: 1.2 Diagnosis - Part 2 & Recommendations: 1.2 Diagnosis - Part 3,CG150,What are the diagnostic criteria for migraine with aura and how should it be managed?
CG150_Recommendations: 1.3 Management - Part 1,CG150,What are the recommended acute treatments for migraine with or without aura according to NICE guidelines?
CG150_Recommendations: 1.3 Management - Part 2,CG150,What are the recommended combination therapies for acute migraine treatment according to NICE guidelines?
CG150_Recommendations: 1.3 Management - Part 3,CG150,What are the recommended non-oral treatments for acute migraine when oral medications are not tolerated?
CG150_Recommendations: 1.3 Management - Part 4,CG150,What are the recommended prophylactic treatments for migraine and their associated benefits and risks?
CG150_Recommendations: 1.3 Management - Part 5,CG150,Should gabapentin be used for migraine prophylaxis?
CG150_Recommendations: 1.3 Management - Part 6,CG150,What are the recommended prophylactic treatments for preventing episodic and chronic migraine according to NICE guidelines?
CG150_Recommendations: 1.3 Management - Part 7,CG150,What are the recommended treatments for menstrual-related migraine that does not respond to standard acute therapy?
CG150_Recommendations: 1.3 Management - Part 8,CG150,What are the recommended acute and prophylactic treatments for cluster headache according to NICE guidelines?
CG150_Recommendations: 1.3 Management - Part 9,CG150,What is the recommended approach for managing medication overuse headache and withdrawal of overused headache medications?
CG150_Recommendations: Terms used in this guideline,CG150,What are the clinical features and distinguishing signs of acute narrow-angle glaucoma?
CG150_Context,CG150,What are the recommended approaches for diagnosing and managing primary headache disorders in adults and young people?
CG150_Recommendations for research: 1 Amitriptyline to prevent recurrent migraine,CG150,Is amitriptyline effective and cost-effective for preventing recurrent migraine?
CG150_Recommendations for research: 2 Pizotifen to prevent recurrent migraine,CG150,Is pizotifen effective and cost-effective for preventing recurrent migraine in children and adults?
CG150_Recommendations for research: 3 Topiramate to prevent recurrent cluster headache & Recommendations for research: 4 Psychological interventions to manage chronic headache disorders,CG150,Is topiramate effective and cost-effective for preventing recurrent cluster headaches?
CG150_Recommendations for research: 5 Pharmacological treatments for headache prophylaxis to aid withdrawal treatment in medication overuse headache,CG150,Does pharmacological prophylaxis or steroid treatment facilitate medication withdrawal in medication overuse headache?
CG151_Neutropenic sepsis: prevention and management in people with cancer & Overview & Introduction - Part 1,CG151,What are the recommended strategies for preventing and managing neutropenic sepsis in cancer patients receiving chemotherapy?
"CG151_Introduction - Part 2 & Key priorities for implementation: Information, support and training",CG151,What are the recommended practices for preventing and managing neutropenic sepsis in cancer patients?
CG151_Key priorities for implementation: Reducing the risk of septic complications of anticancer treatment,CG151,What is the recommended use of fluoroquinolone prophylaxis to prevent septic complications in neutropenic cancer patients?
CG151_Key priorities for implementation: Managing suspected neutropenic sepsis in secondary and tertiary care,CG151,What is the recommended initial antibiotic treatment for suspected neutropenic sepsis in adults and children?
CG151_Key priorities for implementation: Managing confirmed neutropenic sepsis,CG151,How should neutropenic sepsis be managed in patients at high or low risk of septic complications?
CG151_Recommendations: 1.2 Reducing the risk of septic complications of anticancer treatment & Recommendations: 1.3 When to refer patients in the community for suspected neutropenic sepsis,CG151,What are the recommended practices for prophylaxis and management of neutropenic sepsis in adult cancer patients?
CG151_Recommendations: 1.4 Managing suspected neutropenic sepsis in secondary and tertiary care - Part 1,CG151,What is the recommended initial antibiotic treatment for suspected neutropenic sepsis?
CG151_Recommendations: 1.4 Managing suspected neutropenic sepsis in secondary and tertiary care - Part 2,CG151,When should aminoglycosides or glycopeptide antibiotics be used in the initial treatment of suspected neutropenic sepsis?
CG151_Recommendations: 1.5 Managing confirmed neutropenic sepsis,CG151,What are the recommended management strategies for confirmed neutropenic sepsis?
CG151_Recommendations: Terms used in this guideline & Recommendations for research: 1 Service provision for neutropenic sepsis in patients with cancer,CG151,What is the recommended management of neutropenic sepsis in cancer patients receiving anticancer treatment?
CG151_Recommendations for research: 2 Patient support and information & Recommendations for research: 3 Signs and symptoms that predict neutropenic sepsis in the community,CG151,What are the best ways to support and provide information to patients and carers after neutropenic sepsis?
"CG151_Recommendations for research: 4 Reducing the risk of complications of anticancer treatment in children and young people, and in adults diagnosed with lymphoma",CG151,"What is the effectiveness of fluoroquinolone antibiotics and G-CSF for preventing neutropenic sepsis in children, young people, and adults with lymphoma undergoing anticancer treatment?"
CG151_Recommendations for research: 5 Switching from inpatient intravenous to outpatient oral antibiotic therapy in patients with neutropenic sepsis,CG151,What is the evidence for switching from inpatient intravenous to outpatient oral antibiotics within 24 hours for neutropenic sepsis?
CG151_Advice from the Health Protection Agency,CG151,What are the recommendations for preventing septic complications in neutropenic patients undergoing anticancer treatment?
CG153_Psoriasis: assessment and management & Overview & Recommendations: 1.1 Principles of care - Part 1,CG153,What are the recommended strategies for assessing and managing psoriasis in adults and children?
CG153_Recommendations: 1.1 Principles of care - Part 2,CG153,What strategies improve medication adherence and patient support in managing psoriasis?
CG153_Recommendations: 1.2 Assessment and referral - Part 1,CG153,How should clinicians assess the severity and impact of psoriasis to determine the need for specialist referral?
CG153_Recommendations: 1.2 Assessment and referral - Part 2,CG153,What are the recommended tools for assessing psoriasis severity and impact on quality of life?
CG153_Recommendations: 1.2 Assessment and referral - Part 3,CG153,What are the criteria for referring children with psoriasis to a specialist?
CG153_Recommendations: 1.2 Assessment and referral - Part 4,CG153,How should adults with psoriasis be screened for psoriatic arthritis in primary care?
CG153_Recommendations: 1.2 Assessment and referral - Part 5,CG153,What are the recommended management strategies for patients with psoriasis and comorbid depression?
CG153_Recommendations: 1.3 Topical treatment - Part 1,CG153,What is the recommended first-line topical treatment for psoriasis according to NICE guidelines?
CG153_Recommendations: 1.3 Topical treatment - Part 2,CG153,What is the recommended follow-up schedule after starting topical treatment for psoriasis in adults and children?
CG153_Recommendations: 1.3 Topical treatment - Part 3,CG153,What are the recommended safe durations for using potent and very potent topical corticosteroids in psoriasis treatment?
CG153_Recommendations: 1.3 Topical treatment - Part 4,CG153,What is the recommended monitoring schedule for children using topical corticosteroids for psoriasis?
CG153_Recommendations: 1.3 Topical treatment - Part 5,CG153,What are the recommended topical treatments for psoriasis of the scalp in children and young people?
CG153_Recommendations: 1.3 Topical treatment - Part 6,CG153,What are the recommended topical treatments for scalp psoriasis if initial corticosteroid therapy is ineffective?
CG153_Recommendations: 1.3 Topical treatment - Part 7,CG153,What are the recommended topical treatments for scalp psoriasis in adults and children?
CG153_Recommendations: 1.3 Topical treatment - Part 8,CG153,"What are the recommended topical treatments and precautions for psoriasis involving the face, flexures, or genitals?"
CG153_Recommendations: 1.4 Phototherapy (broad- or narrowband UVB light and PUVA) - Part 1,CG153,"What are the indications and safety considerations for using phototherapy, including UVB and PUVA, in the treatment of psoriasis?"
CG153_Recommendations: 1.4 Phototherapy (broad- or narrowband UVB light and PUVA) - Part 2,CG153,Should co-therapy with acitretin be routinely combined with PUVA in psoriasis treatment?
CG153_Recommendations: 1.4 Phototherapy (broad- or narrowband UVB light and PUVA) - Part 3,CG153,What are the safety standards and training requirements for healthcare professionals administering phototherapy?
CG153_Recommendations: 1.5 Systemic treatment - Part 1,CG153,What are the guidelines for prescribing systemic treatments for psoriasis?
CG153_Recommendations: 1.5 Systemic treatment - Part 2,CG153,What are the recommended systemic treatments for moderate to severe psoriasis according to NICE guidelines?
CG153_Recommendations: 1.5 Systemic treatment - Part 3,CG153,What are the recommended medication regimens and dosing strategies for treating pustular psoriasis with methotrexate and ciclosporin?
CG153_Recommendations: 1.5 Systemic treatment - Part 4,CG153,What are the recommended monitoring protocols for hepatotoxicity in patients receiving methotrexate for psoriasis?
CG153_Recommendations: 1.5 Systemic treatment - Part 5,CG153,What are the recommended monitoring and risk assessment procedures for hepatotoxicity in patients with psoriasis on methotrexate therapy?
CG153_Recommendations: 1.5 Systemic treatment - Part 6,CG153,What is the most cost-effective medication option for treating plaque psoriasis in adults with high PASI and DLQI scores who have not responded to conventional treatments?
CG153_Recommendations: 1.5 Systemic treatment - Part 7,CG153,What are the criteria for switching to an alternative targeted immunomodulatory treatment in adults with plaque psoriasis?
CG153_Recommendations: 1.5 Systemic treatment - Part 8,CG153,What are the options for managing plaque psoriasis in children and young people who do not respond to conventional treatments?
CG153_Recommendations: Terms used in this guideline,CG153,What is the difference between conventional systemic treatments and targeted immunomodulatory treatments in managing immune-related conditions?
CG153_Recommendations for research: 1 Assessment of disease severity and impact,CG153,What are the validated tools for assessing disease severity and impact in psoriasis and psoriatic arthritis in clinical practice?
CG153_Recommendations for research: 2 Methotrexate and risk of hepatotoxicity,CG153,"What is the risk of hepatotoxicity associated with methotrexate compared to other systemic or targeted treatments for psoriasis, and how do factors like obesity, alcohol use, or diabetes influence this risk?"
CG153_Recommendations for research: 3 Rapid escalation to systemic treatments & Recommendations for research: 4 Self-management,CG153,Does early systemic treatment improve long-term outcomes and prognosis in psoriasis patients?
CG153_Recommendations for research: 5 Topical treatment,CG153,What are the best practices for using topical treatments to safely and effectively maintain psoriasis control?
CG153_Context - Part 1,CG153,What are the recommended active topical treatments for plaque psoriasis?
CG153_Context - Part 2,CG153,What are the recommended treatment options and care pathways for managing psoriasis across different severity levels?
CG155_Psychosis and schizophrenia in children and young people: recognition and management & Overview & Recommendations: 1.1 General principles of care - Part 1,CG155,What are the recommended approaches for recognizing and managing psychosis and schizophrenia in children and young people?
CG155_Recommendations: 1.1 General principles of care - Part 2,CG155,What are the recommended communication strategies and cultural considerations when supporting children and young people with psychosis or schizophrenia?
CG155_Recommendations: 1.1 General principles of care - Part 3,CG155,How can healthcare professionals ensure culturally appropriate care and smooth transitions for children and young people with psychosis from diverse backgrounds?
CG155_Recommendations: 1.2 Possible psychosis,CG155,What are the recommended assessment and management strategies for children and young people with possible psychosis according to NICE guidelines?
CG155_Recommendations: 1.3 First episode psychosis - Part 1,CG155,What are the recommended assessment procedures for children and young people experiencing first episode psychosis?
CG155_Recommendations: 1.3 First episode psychosis - Part 2,CG155,"How should mental health professionals develop and implement care, crisis, and support plans for children and young people with mental health conditions?"
CG155_Recommendations: 1.3 First episode psychosis - Part 3,CG155,What are the recommended treatment options for first episode psychosis in children and young people?
CG155_Recommendations: 1.3 First episode psychosis - Part 4,CG155,What factors should be considered when choosing an antipsychotic medication for children and young people?
CG155_Recommendations: 1.3 First episode psychosis - Part 5,CG155,What baseline investigations should be performed before starting antipsychotic medication in children and young people?
CG155_Recommendations: 1.3 First episode psychosis - Part 6,CG155,How should clinicians justify and record off-label antipsychotic dosages and monitor treatment effects in children and young people?
CG155_Recommendations: 1.3 First episode psychosis - Part 7,CG155,What are the NICE recommendations for psychological interventions and family involvement in treating children and young people with psychosis or schizophrenia?
CG155_Recommendations: 1.3 First episode psychosis - Part 8,CG155,What are the recommended components and session structure for delivering cognitive-behavioral therapy to children and young people with psychosis?
CG155_Recommendations: 1.4 Subsequent acute episodes of psychosis or schizophrenia - Part 1,CG155,What are the recommended pharmacological and psychological interventions for children and young people experiencing an acute relapse of psychosis or schizophrenia?
CG155_Recommendations: 1.4 Subsequent acute episodes of psychosis or schizophrenia - Part 2,CG155,What psychological interventions are recommended for children and young people with psychosis or schizophrenia?
CG155_Recommendations: 1.5 Referral in crisis and challenging behaviour - Part 1,CG155,What are the NICE guidelines for managing crisis and challenging behaviour in children and young people with mental health issues?
CG155_Recommendations: 1.5 Referral in crisis and challenging behaviour - Part 2,CG155,How should healthcare professionals involve children and young people in shared decision-making during hospital care?
CG155_Recommendations: 1.6 Early post-acute period,CG155,How should relapse be monitored after discontinuing antipsychotic medication in children and young people?
CG155_Recommendations: 1.7 Promoting recovery and providing possible future care in primary care,CG155,What are the NICE guidelines for monitoring and managing physical health in children and young people with psychosis or schizophrenia in primary care?
CG155_Recommendations: 1.8 Promoting recovery and providing possible future care in secondary care - Part 1,CG155,What psychological and pharmacological interventions are recommended for children and young people with psychosis or schizophrenia?
CG155_Recommendations: 1.8 Promoting recovery and providing possible future care in secondary care - Part 2,CG155,What are the recommended management strategies for children and young people with psychosis or schizophrenia who do not respond to initial treatment?
CG155_Recommendations: 1.8 Promoting recovery and providing possible future care in secondary care - Part 3,CG155,When should clozapine be offered to children and young people with schizophrenia?
"CG155_Recommendations for research: 1 What are the long-term outcomes, both psychotic and non‑psychotic, for children and young people with attenuated or transient psychotic symptoms suggestive of a developing psychosis, and can the criteria for 'at risk states' be refined to better predict those who will and those who will not go on to develop psychosis?",CG155,What are the long-term outcomes and risk factors for children and young people with attenuated or transient psychotic symptoms?
CG155_Recommendations for research: 2 What is the clinical and cost effectiveness for family intervention combined with individual CBT in the treatment of children and young people considered to be at high risk of developing psychosis and their parents or carers?,CG155,What is the clinical and cost effectiveness of family intervention combined with individual CBT for preventing psychosis in high-risk children and young people?
"CG155_Recommendations for research: 3 What is the clinical and cost effectiveness of psychological intervention alone, compared with antipsychotic medication and compared with psychological intervention and antipsychotic medication combined, in young people with first episode psychosis?",CG155,What is the effectiveness of psychological interventions compared to antipsychotic medication for first episode psychosis in young people?
CG155_Recommendations for research: 4 What is the clinical effectiveness of clozapine for children and young people with schizophrenia with symptoms unresponsive to antipsychotic medication and psychological treatment combined?,CG155,What is the clinical effectiveness of clozapine for treatment-resistant schizophrenia in children and young people?
CG155_Recommendations for research: 5 What is the most effective management strategy for preventing the development of excessive weight gain and metabolic syndrome associated with the use of antipsychotic medication in children and young people?,CG155,What are the most effective strategies to prevent weight gain and metabolic syndrome in children and young people taking antipsychotic medication?
CG155_Supplementary information on baseline investigations and monitoring,CG155,What are the recommended baseline investigations and monitoring schedule for children prescribed antipsychotic medication?
CG155_Context - Part 1,CG155,What are the early signs and management strategies for psychosis and schizophrenia in children and young people?
CG155_Context - Part 2,CG155,What are the recommended treatments and support options for children and young people with psychosis or schizophrenia?
CG156_Fertility problems: assessment and treatment & Overview,CG156,What are the recommended approaches for assessing and treating fertility problems?
CG156_Recommendations: 1.1 Principles of care,CG156,What information should be provided to couples experiencing fertility problems to support informed decision-making?
CG156_Recommendations: 1.2 Initial advice to people concerned about delays in conception - Part 1,CG156,What is the recommended frequency of sexual intercourse to improve chances of conception?
CG156_Recommendations: 1.2 Initial advice to people concerned about delays in conception - Part 2,CG156,What are the recommendations for timing artificial insemination around ovulation?
CG156_Recommendations: 1.2 Initial advice to people concerned about delays in conception - Part 3,CG156,What are the recommended lifestyle and health advice for improving fertility in men and women?
CG156_Recommendations: 1.2 Initial advice to people concerned about delays in conception - Part 4,CG156,When should women be offered fertility assessment after trying to conceive?
CG156_Recommendations: 1.3 Investigation of fertility problems and management strategies - Part 1,CG156,What are the recommended methods for assessing ovarian reserve in fertility investigations?
CG156_Recommendations: 1.3 Investigation of fertility problems and management strategies - Part 2,CG156,How can age and ovarian response measures predict success in natural conception and IVF outcomes?
CG156_Recommendations: 1.3 Investigation of fertility problems and management strategies - Part 3,CG156,What tests are recommended or not recommended for assessing fertility in women?
CG156_Recommendations: 1.3 Investigation of fertility problems and management strategies - Part 4,CG156,What are the recommended investigations for suspected tubal and uterine abnormalities in women seeking fertility assessment?
CG156_Recommendations: 1.3 Investigation of fertility problems and management strategies - Part 5,CG156,What are the criteria for advising couples on unprotected sex when the man is HIV positive?
CG156_Recommendations: 1.3 Investigation of fertility problems and management strategies - Part 6,CG156,What are the recommended precautions and screening procedures for hepatitis C and rubella in women planning pregnancy?
CG156_Recommendations: 1.4 Medical and surgical management of male factor fertility problems,CG156,What are the recommended medical and surgical treatments for male factor infertility?
CG156_Recommendations: 1.5 Ovulation disorders - Part 1,CG156,What are the recommended first-line treatments for ovarian stimulation in women with WHO Group 2 ovulation disorders?
CG156_Recommendations: 1.5 Ovulation disorders - Part 2,CG156,What are the recommended treatments for women with WHO Group 2 anovulatory infertility and obesity?
CG156_Recommendations: 1.5 Ovulation disorders - Part 3,CG156,What are the recommended treatments and monitoring strategies for women with polycystic ovary syndrome undergoing ovulation induction?
CG156_Recommendations: 1.6 Tubal and uterine surgery & Recommendations: 1.7 Medical and surgical management of endometriosis,CG156,What are the recommended surgical options for tubal and uterine conditions to improve fertility?
CG156_Recommendations: 1.8 Unexplained infertility,CG156,What are the recommended treatments for unexplained infertility according to NICE guidelines?
CG156_Recommendations: 1.9 Intrauterine insemination,CG156,What are the indications for using intrauterine insemination as a fertility treatment?
CG156_Recommendations: 1.10 Prediction of IVF success,CG156,"How do age, BMI, lifestyle factors, and previous pregnancy history affect IVF success rates?"
CG156_Recommendations: 1.11 Access criteria for IVF - Part 1,CG156,What are the NICE guidelines for access to IVF treatment in women aged 40 to 42 years?
CG156_Recommendations: 1.11 Access criteria for IVF - Part 2,CG156,When should women with no previous IVF treatment and normal ovarian reserve be referred directly for IVF?
CG156_Recommendations: 1.12 Procedures used during IVF treatment - Part 1,CG156,What are the recommended procedures and regimens for ovarian stimulation during IVF treatment?
CG156_Recommendations: 1.12 Procedures used during IVF treatment - Part 2,CG156,What is the recommended ultrasound monitoring protocol during ovarian stimulation for IVF?
CG156_Recommendations: 1.12 Procedures used during IVF treatment - Part 3,CG156,What are the recommended embryo transfer strategies and practices in IVF according to NICE guidelines?
CG156_Recommendations: 1.12 Procedures used during IVF treatment - Part 4,CG156,What are the recommended embryo transfer practices and luteal phase support options in IVF treatment according to NICE guidelines?
CG156_Recommendations: 1.13 Intracytoplasmic sperm injection,CG156,What are the indications and genetic considerations for intracytoplasmic sperm injection (ICSI)?
CG156_Recommendations: 1.14 Donor insemination - Part 1,CG156,What are the indications and counselling considerations for donor insemination in fertility treatment?
CG156_Recommendations: 1.14 Donor insemination - Part 2,CG156,What counseling should be offered to potential semen donors regarding genetic and reproductive implications?
CG156_Recommendations: 1.15 Oocyte donation,CG156,What are the indications and screening requirements for oocyte donation?
CG156_Recommendations: 1.16 People with cancer who wish to preserve fertility - Part 1,CG156,What are the guidelines for fertility preservation in cancer patients before treatment?
CG156_Recommendations: 1.16 People with cancer who wish to preserve fertility - Part 2,CG156,What are the recommended methods for fertility preservation in cancer patients?
CG156_Recommendations: 1.17 Long-term safety of assisted reproductive technologies for women with infertility and their children,CG156,What are the long-term health outcomes and safety considerations of assisted reproductive technologies for women and children?
CG156_Terms used in this guideline & Recommendations for research: 1 Expectant management before IVF,CG156,What is the recommended duration of expectant management before IVF for women of different age groups?
CG156_Recommendations for research: 2 Embryo selection for single embryo transfer & Recommendations for research: 3 Adjuvant luteal phase support treatments in IVF & Recommendations for research: 4 Long-term safety of ovarian stimulation and ovulation induction for women,CG156,What are the current recommendations for embryo selection to improve single embryo transfer success rates?
CG156_Recommendations for research: 5 Long-term effects of IVF with or without intracytoplasmic sperm injection in children,CG156,What are the long-term health outcomes for children conceived through IVF with or without ICSI over 20 years?
CG156_Figures and tables to support chances of conception and embryo quality recommendations - Part 1,CG156,What are the chances of conceiving a clinical pregnancy based on age and number of cycles?
CG156_Figures and tables to support chances of conception and embryo quality recommendations - Part 2,CG156,What is the likelihood of conceiving a clinical pregnancy after multiple cycles of insemination based on age and sperm quality?
CG156_Context,CG156,What are the recommended investigations and treatment options for infertility according to NICE guidelines?
CG158_Antisocial behaviour and conduct disorders in children and young people: recognition and management & Overview,CG158,What are the recommended strategies for recognizing and managing conduct disorders in children and young people?
CG158_Recommendations: 1.1 General principles of care - Part 1,CG158,What are the recommended approaches for assessing and working with children and young people with conduct disorder from diverse cultural and social backgrounds?
CG158_Recommendations: 1.1 General principles of care - Part 2,CG158,What are the best practices for supporting transition and discharge in mental health services for children and young people?
CG158_Recommendations: 1.2 Selective prevention,CG158,What are the recommended classroom-based emotional learning programs for preventing conduct disorder in at-risk children aged 3 to 7?
CG158_Recommendations: 1.3 Identification and assessment - Part 1,CG158,What are the recommended initial assessment procedures for children and young people with suspected conduct disorder?
CG158_Recommendations: 1.3 Identification and assessment - Part 2,CG158,What are the key components of a comprehensive assessment for conduct disorders in children and young people?
CG158_Recommendations: 1.3 Identification and assessment - Part 3,CG158,What are the recommended assessments and care planning procedures for children and young people with suspected learning disabilities or reading difficulties?
CG158_Recommendations: 1.4 Identifying effective treatment and care options,CG158,What factors should be considered when selecting treatment options for children and young people with conduct disorder?
CG158_Recommendations: 1.5 Psychosocial interventions – treatment and indicated prevention - Part 1,CG158,What are the recommended parent training programmes for children at high risk of conduct disorder?
CG158_Recommendations: 1.5 Psychosocial interventions – treatment and indicated prevention - Part 2,CG158,What parent and foster carer training programs are recommended for children aged 3 to 11 with oppositional defiant disorder or conduct disorder?
CG158_Recommendations: 1.5 Psychosocial interventions – treatment and indicated prevention - Part 3,CG158,What are the recommended components and structure of foster carer training programmes for supporting children with behavioural difficulties?
CG158_Recommendations: 1.6 Pharmacological interventions - Part 1,CG158,What are the recommended pharmacological treatments for conduct disorder and associated behaviours in children and young people according to NICE guidelines?
CG158_Recommendations: 1.6 Pharmacological interventions - Part 2,CG158,What are the recommended monitoring and evaluation procedures for risperidone treatment in young people?
CG158_Recommendations: 1.7 Organisation and delivery of care - Part 1,CG158,What are the recommended strategies for improving access to services for children and young people with conduct disorder?
CG158_Recommendations: 1.7 Organisation and delivery of care - Part 2,CG158,What are the recommended features of local care pathways for children and young people with conduct disorder according to NICE guidelines?
CG158_Recommendations: 1.7 Organisation and delivery of care - Part 3,CG158,What are the key components for designing effective local care pathways for children and young people with conduct disorder?
CG158_Recommendations for research,CG158,What is the effectiveness of parent training programmes for conduct disorders in children aged 12 years and over?
CG158_Context - Part 1,CG158,What are the diagnostic criteria and management strategies for conduct disorder in children and young people?
CG158_Context - Part 2,CG158,What are the key considerations for managing conduct disorders in children and young people?
CG158_Context - Part 3,CG158,What are the recommended interventions for children with conduct disorder and how should services coordinate care across agencies?
"CG159_Social anxiety disorder: recognition, assessment and treatment & Overview",CG159,What are the recommended approaches for assessing and treating social anxiety disorder in children and adults?
CG159_Recommendations: 1.1 General principles of care in mental health and general medical settings - Part 1,CG159,What strategies can improve access and reduce distress for patients with social anxiety disorder in healthcare settings?
CG159_Recommendations: 1.1 General principles of care in mental health and general medical settings - Part 2,CG159,What are effective strategies for communicating with children and young people with social anxiety disorder during assessment and treatment?
CG159_Recommendations: 1.2 Identification and assessment of adults - Part 1,CG159,What are the recommended assessment methods for adults with suspected social anxiety disorder?
CG159_Recommendations: 1.2 Identification and assessment of adults - Part 2,CG159,What are the recommended approaches for assessing and treating social anxiety disorder in adults?
CG159_Recommendations: 1.3 Interventions for adults with social anxiety disorder - Part 1,CG159,What are the recommended psychological and pharmacological interventions for adults with social anxiety disorder according to NICE guidelines?
CG159_Recommendations: 1.3 Interventions for adults with social anxiety disorder - Part 2,CG159,What are the recommended pharmacological treatments and monitoring guidelines for social anxiety disorder in adults?
CG159_Recommendations: 1.3 Interventions for adults with social anxiety disorder - Part 3,CG159,What are the recommended pharmacological and psychological treatment options for social anxiety disorder?
CG159_Recommendations: 1.3 Interventions for adults with social anxiety disorder - Part 4,CG159,What are the recommended psychological and pharmacological treatments for social anxiety disorder according to NICE guidelines?
CG159_Recommendations: 1.3 Interventions for adults with social anxiety disorder - Part 5,CG159,What precautions should be taken when prescribing SSRIs or SNRIs to people under 30 for anxiety disorders?
CG159_Recommendations: 1.4 Identification and assessment of children and young people - Part 1,CG159,What are the signs and assessment methods for social anxiety disorder in children and young people?
CG159_Recommendations: 1.4 Identification and assessment of children and young people - Part 2,CG159,What are the recommended assessment procedures for children and young people with suspected social anxiety disorder?
CG159_Recommendations: 1.4 Identification and assessment of children and young people - Part 3,CG159,What assessment tools are recommended for diagnosing social anxiety disorder and related mental health problems in children and young people?
CG159_Recommendations: 1.5 Interventions for children and young people with social anxiety disorder - Part 1,CG159,What are the recommended psychological interventions for children and young people with social anxiety disorder?
CG159_Recommendations: 1.5 Interventions for children and young people with social anxiety disorder - Part 2,CG159,What are the recommended psychological interventions for children and young people with social anxiety disorder?
CG159_Recommendations: 1.6 Interventions that are not recommended to treat social anxiety disorder & Recommendations: 1.7 Specific phobias,CG159,What treatments are not recommended for social anxiety disorder according to NICE guidelines?
CG159_Recommendations for research: 1 Adults' uptake of and engagement with interventions for social anxiety disorder,CG159,What strategies are effective in increasing uptake and engagement with interventions for adults with social anxiety disorder?
CG159_Recommendations for research: 2 Specific versus generic CBT for children and young people with social anxiety disorder,CG159,What is the clinical and cost effectiveness of specific cognitive-behavioral therapy compared to generic anxiety-focused CBT for children and young people with social anxiety disorder?
CG159_Recommendations for research: 3 The role of parents in the treatment of children and young people with social anxiety disorder,CG159,How should parents be involved in the treatment of children and young people with social anxiety disorder?
CG159_Recommendations for research: 4 Individual versus group CBT for children and young people with social anxiety disorder,CG159,What is the effectiveness and cost-effectiveness of individual versus group cognitive behavioral therapy for children and young people with social anxiety disorder?
CG159_Recommendations for research: 5 Combined interventions for adults with social anxiety disorder,CG159,What is the effectiveness of combined psychological and pharmacological treatments compared to single interventions for adults with social anxiety disorder?
CG159_Context - Part 1,CG159,What are the recommended treatments for social anxiety disorder in adults and children?
CG159_Context - Part 2,CG159,What are the recommended psychological and pharmacological treatments for social anxiety disorder?
